FID,TARGET_FID,Join_Count,MAINTAREA_,Name,DISTRIBUTI,البلد,الحي_,ASSETSTATU,ASSETCONDI,DIAMETER_1,MATERIAL_1,INSTALLDAT,NEW_REL_PR,Shape__Len,Id_1,Class_name,fclass_1,Width_1,Y,X,اليوم,وقت_ت,تاريخ,زمن_ا,Xnew,Ynew
352863,352864,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,76.02832038,195879,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95617623,21.46964913
352864,352865,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,76.02832038,195879,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95626573,21.46968294
352865,352866,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,76.02832038,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95635523,21.46971676
352866,352867,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,76.02832038,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95644472,21.46975058
352867,352868,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,100,UPVC,1/24/2004 0:00,7.4,43.64270882,198619,Roads,residential,15,21.468334,39.951992,السبت,4/29/2023 0:00,4/30/2023 0:00,5:17,39.95649867,21.46977097
352868,352869,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,100,UPVC,1/24/2004 0:00,7.4,43.64270882,198619,Roads,residential,15,21.468334,39.951992,السبت,4/29/2023 0:00,4/30/2023 0:00,5:17,39.95649867,21.46977097
352869,352870,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,residential,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95658722,21.4698069
352870,352871,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95667577,21.46984284
352871,352872,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95676432,21.46987877
352872,352873,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95685287,21.46991471
352873,352874,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95694142,21.46995064
352874,352875,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95702997,21.46998658
352875,352876,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,191956,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95711852,21.47002251
352876,352877,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95720707,21.47005844
352877,352878,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95729562,21.47009438
352878,352879,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95738417,21.47013031
352879,352880,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,198619,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95747272,21.47016625
352880,352881,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,195879,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95756127,21.47020218
352881,352882,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,195879,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95759189,21.47021461
352882,352883,1,MAKKAH MA1,حي الشرائع,A5,الشرائع,الشرائع,Active,Good,150,UPVC,1/24/2004 0:00,7.4,123.4578673,195879,Roads,secondary,15,21.477185,39.945945,الثلاثاء,8/8/2023 0:00,8/8/2023 0:00,4:00,39.95759189,21.47021461
