Name,train,validation,test
 ,826,177,177
Ø­ÙŠ Ø£Ø¬ÙŠØ§Ø¯,441,95,94
Ø­ÙŠ Ø£Ø­Ø¯,935,200,200
Ø­ÙŠ Ø§Ù„Ø£Ù†Ø¯Ù„Ø³,4750,1018,1018
Ø­ÙŠ Ø§Ù„Ø¨Ø­ÙŠØ±Ø§Øª,14370,3079,3079
Ø­ÙŠ Ø§Ù„Ø¨ÙŠØ¨Ø§Ù†,370,79,79
Ø­ÙŠ Ø§Ù„ØªØ±ÙˆÙŠØ©,1084,232,233
Ø­ÙŠ Ø§Ù„ØªÙ‚ÙˆÙ‰,1344,288,288
Ø­ÙŠ Ø§Ù„ØªÙ†Ø¹ÙŠÙ…,10541,2259,2259
Ø­ÙŠ Ø§Ù„ØªÙŠØ³ÙŠØ±,1232,264,264
Ø­ÙŠ Ø§Ù„Ø¬Ø§Ù…Ø¹Ù‡,10525,2255,2256
Ø­ÙŠ Ø§Ù„Ø¬Ù…ÙŠØ²Ø©,844,181,181
Ø­ÙŠ Ø§Ù„Ø­Ø¬ÙˆÙ†,350,75,75
Ø­ÙŠ Ø§Ù„Ø­Ù…Ø±Ø§Ø¡,4038,865,865
Ø­ÙŠ Ø§Ù„Ø®Ø§Ù„Ø¯ÙŠØ©,3695,792,792
Ø­ÙŠ Ø§Ù„Ø®Ø¶Ø±Ø§Ø¡,8830,1892,1893
Ø­ÙŠ Ø§Ù„Ø®Ù†Ø³Ø§Ø¡,4940,1059,1058
Ø­ÙŠ Ø§Ù„Ø±Ø§Ø´Ø¯ÙŠØ©,11,2,3
Ø­ÙŠ Ø§Ù„Ø±ØµÙŠÙØ©,4904,1051,1050
Ø­ÙŠ Ø§Ù„Ø±ÙˆØ§Ø¨ÙŠ,1762,377,378
Ø­ÙŠ Ø§Ù„Ø±ÙˆØ¶Ù‡,2330,499,499
Ø­ÙŠ Ø§Ù„Ø²Ø§Ù‡Ø±,7356,1577,1576
Ø­ÙŠ Ø§Ù„Ø²Ù‡Ø±Ø§Ø¡,6130,1314,1313
Ø­ÙŠ Ø§Ù„Ø³Ù„Ø§Ù…,5335,1143,1143
Ø­ÙŠ Ø§Ù„Ø³Ù„Ø§Ù…Ø©,3446,738,739
Ø­ÙŠ Ø§Ù„Ø³Ù„ÙŠÙ…Ø§Ù†ÙŠØ©,186,40,40
Ø­ÙŠ Ø§Ù„Ø³Ù†Ø§Ø¨Ù„,2155,461,462
Ø­ÙŠ Ø§Ù„Ø³ÙˆÙ‚ Ø§Ù„ØµØºÙŠØ± Ø§Ù„Ø¬Ø¯ÙŠØ¯,1446,310,309
Ø­ÙŠ Ø§Ù„Ø´Ø±Ø§Ø¦Ø¹,7451,1597,1596
Ø­ÙŠ Ø§Ù„Ø´Ù‡Ø¯Ø§Ø¡,5180,1110,1110
Ø­ÙŠ Ø§Ù„Ø´ÙˆÙ‚ÙŠØ©,6727,1441,1442
Ø­ÙŠ Ø§Ù„ØµÙØ§,552,119,118
Ø­ÙŠ Ø§Ù„Ø¶ÙŠØ§ÙØ©,2017,433,432
Ø­ÙŠ Ø§Ù„Ø¹ØªÙŠØ¨ÙŠØ©,4903,1051,1050
Ø­ÙŠ Ø§Ù„Ø¹Ø¯Ù„,4444,952,953
Ø­ÙŠ Ø§Ù„Ø¹Ø²ÙŠØ²ÙŠØ©,5905,1266,1265
Ø­ÙŠ Ø§Ù„Ø¹Ø³ÙŠÙ„Ø©,183,39,40
Ø­ÙŠ Ø§Ù„Ø¹Ù‚Ø¨Ø©,624,134,134
Ø­ÙŠ Ø§Ù„Ø¹ÙƒÙŠØ´ÙŠØ©,4255,912,912
Ø­ÙŠ Ø§Ù„Ø¹Ù…Ø±Ø©,15128,3241,3242
Ø­ÙŠ Ø§Ù„Ø¹ÙˆØ§Ù„ÙŠ,8445,1809,1810
Ø­ÙŠ Ø§Ù„ØºØ²Ø© Ø§Ù„Ø¬Ø¯ÙŠØ¯,558,119,120
Ø­ÙŠ Ø§Ù„ÙØªØ­,356,77,76
Ø­ÙŠ Ø§Ù„ÙØ±Ù‚Ø§Ù†,2934,629,628
Ø­ÙŠ Ø§Ù„ÙƒØ¹ÙƒÙŠØ©,4034,865,864
Ø­ÙŠ Ø§Ù„ÙƒÙˆØ«Ø±,6884,1475,1475
Ø­ÙŠ Ø§Ù„Ù…Ø­Ù…Ø¯ÙŠØ©,9471,2030,2029
Ø­ÙŠ Ø§Ù„Ù…Ø±Ø³Ù„Ø§Øª,3457,740,741
Ø­ÙŠ Ø§Ù„Ù…Ø³ÙÙ„Ø©,406,87,87
Ø­ÙŠ Ø§Ù„Ù…Ø¹Ø§Ø¨Ø¯Ù‡,4399,943,942
Ø­ÙŠ Ø§Ù„Ù…ØºÙ…Ø³,1162,249,249
Ø­ÙŠ Ø§Ù„Ù…Ù‚Ø§Ù…,4239,908,909
Ø­ÙŠ Ø§Ù„Ù…Ù„Ùƒ ÙÙ‡Ø¯,12050,2582,2582
Ø­ÙŠ Ø§Ù„Ù†Ø²Ù‡Ø©,6395,1370,1371
Ø­ÙŠ Ø§Ù„Ù†Ø³ÙŠÙ…,4340,930,930
Ø­ÙŠ Ø§Ù„Ù†Ù‚Ø§ Ø§Ù„Ø¬Ø¯ÙŠØ¯,315,68,67
